Modelo de colisao|simulacao|nó sensor|PRR
0|PA|nó 1|94.8
1|PA|nó 1|90.2
2|PA|nó 1|91.9
0|PB|nó 1|79.4
1|PB|nó 1|63.800000000000004
2|PB|nó 1|71.1
0|0.1|nó 1|91.2
1|0.1|nó 1|80.8
2|0.1|nó 1|86.2
0|0.2|nó 1|93.2
1|0.2|nó 1|85.4
2|0.2|nó 1|89.4
0|0.3|nó 1|94.9
1|0.3|nó 1|88.9
2|0.3|nó 1|92.0
0|0.4|nó 1|96.1
1|0.4|nó 1|91.5
2|0.4|nó 1|93.9
0|0.5|nó 1|97.0
1|0.5|nó 1|93.3
2|0.5|nó 1|95.2
0|0.6|nó 1|97.7
1|0.6|nó 1|94.7
2|0.6|nó 1|96.1
0|0.7|nó 1|98.1
1|0.7|nó 1|95.8
2|0.7|nó 1|96.8
0|0.8|nó 1|98.5
1|0.8|nó 1|96.4
2|0.8|nó 1|97.3
0|0.9|nó 1|98.7
1|0.9|nó 1|97.0
2|0.9|nó 1|97.7
0|PA|nó 2|95.7
1|PA|nó 2|90.9
2|PA|nó 2|95.8
0|PB|nó 2|91.6
1|PB|nó 2|72.9
2|PB|nó 2|94.3
0|0.1|nó 2|97.4
1|0.1|nó 2|86.4
2|0.1|nó 2|98.0
0|0.2|nó 2|97.9
1|0.2|nó 2|89.6
2|0.2|nó 2|98.2
0|0.3|nó 2|98.2
1|0.3|nó 2|91.9
2|0.3|nó 2|98.4
0|0.4|nó 2|98.4
1|0.4|nó 2|93.6
2|0.4|nó 2|98.6
0|0.5|nó 2|98.6
1|0.5|nó 2|94.9
2|0.5|nó 2|98.7
0|0.6|nó 2|98.8
1|0.6|nó 2|95.9
2|0.6|nó 2|98.9
0|0.7|nó 2|98.9
1|0.7|nó 2|96.5
2|0.7|nó 2|99.0
0|0.8|nó 2|99.0
1|0.8|nó 2|97.1
2|0.8|nó 2|99.0
0|0.9|nó 2|99.0
1|0.9|nó 2|97.4
2|0.9|nó 2|99.1
0|PA|nó 3|95.3
1|PA|nó 3|91.3
2|PA|nó 3|92.5
0|PB|nó 3|70.1
1|PB|nó 3|51.9
2|PB|nó 3|59.599999999999994
0|0.1|nó 3|88.9
1|0.1|nó 3|61.6
2|0.1|nó 3|77.6
0|0.2|nó 3|91.8
1|0.2|nó 3|71.3
2|0.2|nó 3|84.4
0|0.3|nó 3|93.8
1|0.3|nó 3|79.7
2|0.3|nó 3|89.4
0|0.4|nó 3|95.4
1|0.4|nó 3|86.3
2|0.4|nó 3|92.5
0|0.5|nó 3|96.5
1|0.5|nó 3|91.4
2|0.5|nó 3|94.5
0|0.6|nó 3|97.3
1|0.6|nó 3|94.0
2|0.6|nó 3|95.7
0|0.7|nó 3|97.9
1|0.7|nó 3|95.5
2|0.7|nó 3|96.6
0|0.8|nó 3|98.3
1|0.8|nó 3|96.5
2|0.8|nó 3|97.2
0|0.9|nó 3|98.5
1|0.9|nó 3|97.0
2|0.9|nó 3|97.6
0|PA|nó 4|84.6
1|PA|nó 4|74.1
2|PA|nó 4|78.9
0|PB|nó 4|73.0
1|PB|nó 4|51.9
2|PB|nó 4|65.6
0|0.1|nó 4|70.4
1|0.1|nó 4|43.9
2|0.1|nó 4|61.8
0|0.2|nó 4|72.6
1|0.2|nó 4|48.9
2|0.2|nó 4|64.4
0|0.3|nó 4|74.9
1|0.3|nó 4|53.6
2|0.3|nó 4|66.9
0|0.4|nó 4|76.8
1|0.4|nó 4|57.2
2|0.4|nó 4|69.1
0|0.5|nó 4|78.1
1|0.5|nó 4|60.6
2|0.5|nó 4|70.8
0|0.6|nó 4|79.5
1|0.6|nó 4|63.5
2|0.6|nó 4|72.4
0|0.7|nó 4|80.3
1|0.7|nó 4|66.0
2|0.7|nó 4|73.6
0|0.8|nó 4|81.3
1|0.8|nó 4|67.7
2|0.8|nó 4|74.7
0|0.9|nó 4|81.8
1|0.9|nó 4|69.1
2|0.9|nó 4|75.4
0|PA|nó 5|82.0
1|PA|nó 5|70.8
2|PA|nó 5|74.4
0|PB|nó 5|54.7
1|PB|nó 5|30.5
2|PB|nó 5|40.7
0|0.1|nó 5|65.7
1|0.1|nó 5|32.8
2|0.1|nó 5|49.6
0|0.2|nó 5|68.3
1|0.2|nó 5|39.2
2|0.2|nó 5|54.2
0|0.3|nó 5|70.6
1|0.3|nó 5|44.8
2|0.3|nó 5|58.099999999999994
0|0.4|nó 5|72.9
1|0.4|nó 5|49.8
2|0.4|nó 5|61.199999999999996
0|0.5|nó 5|74.8
1|0.5|nó 5|54.2
2|0.5|nó 5|64.2
0|0.6|nó 5|76.1
1|0.6|nó 5|58.099999999999994
2|0.6|nó 5|66.4
0|0.7|nó 5|77.6
1|0.7|nó 5|61.1
2|0.7|nó 5|68.0
0|0.8|nó 5|78.5
1|0.8|nó 5|63.4
2|0.8|nó 5|69.3
0|0.9|nó 5|79.2
1|0.9|nó 5|65.1
2|0.9|nó 5|70.2
