|Modelo de colisao|simulacao|nos|NJ Bit
0|0|PA|nó 1|102.75200000000001
1|1|PA|nó 1|108.03399999999999
2|0|PB|nó 1|107.721
3|1|PB|nó 1|134.739
4|0|0.1|nó 1|106.389
5|1|0.1|nó 1|119.949
6|0|0.2|nó 1|104.05
7|1|0.2|nó 1|113.428
8|0|0.3|nó 1|102.255
9|1|0.3|nó 1|109.023
10|0|0.4|nó 1|100.991
11|1|0.4|nó 1|106.051
12|0|0.5|nó 1|100.155
13|1|0.5|nó 1|104.001
14|0|0.6|nó 1|99.45299999999999
15|1|0.6|nó 1|102.461
16|0|CL-B|nó 1|99.095
17|1|CL-B|nó 1|101.432
18|0|0.8|nó 1|98.78
19|1|0.8|nó 1|100.801
20|0|0.9|nó 1|98.59200000000001
21|1|0.9|nó 1|100.243
22|0|PA|nó 2|103.044
23|1|PA|nó 2|108.545
24|0|PB|nó 2|106.148
25|1|PB|nó 2|133.308
26|0|0.1|nó 2|100.90700000000001
27|1|0.1|nó 2|113.639
28|0|0.2|nó 2|100.44
29|1|0.2|nó 2|109.62
30|0|0.3|nó 2|100.12799999999999
31|1|0.3|nó 2|106.92200000000001
32|0|0.4|nó 2|99.96
33|1|0.4|nó 2|105.01899999999999
34|0|0.5|nó 2|99.79299999999999
35|1|0.5|nó 2|103.634
36|0|0.6|nó 2|99.645
37|1|0.6|nó 2|102.617
38|0|CL-B|nó 2|99.56200000000001
39|1|CL-B|nó 2|101.988
40|0|0.8|nó 2|99.51299999999999
41|1|0.8|nó 2|101.455
42|0|0.9|nó 2|99.51799999999999
43|1|0.9|nó 2|101.22399999999999
44|0|PA|nó 3|67.357
45|1|PA|nó 3|70.316
46|0|PB|nó 3|84.64299999999999
47|1|PB|nó 3|116.419
48|0|0.1|nó 3|71.766
49|1|0.1|nó 3|103.727
50|0|0.2|nó 3|69.50399999999999
51|1|0.2|nó 3|89.53
52|0|0.3|nó 3|68.085
53|1|0.3|nó 3|80.181
54|0|0.4|nó 3|67.028
55|1|0.4|nó 3|74.02199999999999
56|0|0.5|nó 3|66.306
57|1|0.5|nó 3|69.931
58|0|0.6|nó 3|65.788
59|1|0.6|nó 3|68.0
60|0|CL-B|nó 3|65.408
61|1|CL-B|nó 3|67.033
62|0|0.8|nó 3|65.176
63|1|0.8|nó 3|66.40899999999999
64|0|0.9|nó 3|65.054
65|1|0.9|nó 3|66.154
66|0|PA|nó 4|46.056999999999995
67|1|PA|nó 4|52.628
68|0|PB|nó 4|47.68
69|1|PB|nó 4|67.17
70|0|0.1|nó 4|55.053999999999995
71|1|0.1|nó 4|88.507
72|0|0.2|nó 4|53.352
73|1|0.2|nó 4|79.307
74|0|0.3|nó 4|51.788000000000004
75|1|0.3|nó 4|72.45100000000001
76|0|0.4|nó 4|50.512
77|1|0.4|nó 4|67.86399999999999
78|0|0.5|nó 4|49.676
79|1|0.5|nó 4|64.178
80|0|0.6|nó 4|48.848
81|1|0.6|nó 4|61.246
82|0|CL-B|nó 4|48.408
83|1|CL-B|nó 4|58.923
84|0|0.8|nó 4|47.842
85|1|0.8|nó 4|57.515
86|0|0.9|nó 4|47.593
87|1|0.9|nó 4|56.336000000000006
88|0|PA|nó 5|47.027
89|1|PA|nó 5|54.479
90|0|PB|nó 5|62.218999999999994
91|1|PB|nó 5|113.73100000000001
92|0|0.1|nó 5|58.262
93|1|0.1|nó 5|116.71799999999999
94|0|0.2|nó 5|56.163000000000004
95|1|0.2|nó 5|97.88600000000001
96|0|0.3|nó 5|54.272
97|1|0.3|nó 5|85.649
98|0|0.4|nó 5|52.674
99|1|0.4|nó 5|77.131
100|0|0.5|nó 5|51.408
101|1|0.5|nó 5|70.945
102|0|0.6|nó 5|50.528
103|1|0.6|nó 5|66.26899999999999
104|0|CL-B|nó 5|49.599
105|1|CL-B|nó 5|63.04600000000001
106|0|0.8|nó 5|49.036
107|1|0.8|nó 5|60.806000000000004
108|0|0.9|nó 5|48.66
109|1|0.9|nó 5|59.273999999999994
