|Modelo de colisao|nó 1|nó 2|nó 3|nó 4|nó 5|simulacao
0|0|102.75200000000001|103.044|67.357|46.056999999999995|47.027|PA
1|1|108.03399999999999|108.545|70.316|52.628|54.479|PA
3|0|107.721|106.148|84.64299999999999|47.68|62.218999999999994|PB
4|1|134.739|133.308|116.419|67.17|113.73100000000001|PB
6|0|106.389|100.90700000000001|71.766|55.053999999999995|58.262|0.1
7|1|119.949|113.639|103.727|88.507|116.71799999999999|0.1
9|0|104.05|100.44|69.50399999999999|53.352|56.163000000000004|0.2
10|1|113.428|109.62|89.53|79.307|97.88600000000001|0.2
12|0|102.255|100.12799999999999|68.085|51.788000000000004|54.272|0.3
13|1|109.023|106.92200000000001|80.181|72.45100000000001|85.649|0.3
15|0|100.991|99.96|67.028|50.512|52.674|0.4
16|1|106.051|105.01899999999999|74.02199999999999|67.86399999999999|77.131|0.4
18|0|100.155|99.79299999999999|66.306|49.676|51.408|0.5
19|1|104.001|103.634|69.931|64.178|70.945|0.5
21|0|99.45299999999999|99.645|65.788|48.848|50.528|0.6
22|1|102.461|102.617|68.0|61.246|66.26899999999999|0.6
24|0|99.095|99.56200000000001|65.408|48.408|49.599|CL-B
25|1|101.432|101.988|67.033|58.923|63.04600000000001|CL-B
27|0|98.78|99.51299999999999|65.176|47.842|49.036|0.8
28|1|100.801|101.455|66.40899999999999|57.515|60.806000000000004|0.8
30|0|98.59200000000001|99.51799999999999|65.054|47.593|48.66|0.9
31|1|100.243|101.22399999999999|66.154|56.336000000000006|59.273999999999994|0.9
